Code;Item
p01.a;Paddy rice
p01.b;Wheat
p01.c;Cereal grains nec
p01.d;Vegetables, fruit, nuts
p01.e;Oil seeds
p01.f;Sugar cane, sugar beet
p01.g;Plant-based fibers
p01.h;Crops nec
p01.i;Cattle
p01.j;Pigs
p01.k;Poultry
p01.l;Meat animals nec
p01.m;Animal products nec
p01.n;Raw milk
p01.o;Wool, silk-worm cocoons
p01.w.1;Manure (conventional treatment)
p01.w.2;Manure (biogas treatment)
p02;Products of forestry, logging and related services
p05;"Fish and other fishing products; services incidental of fishing"
p10.a;Anthracite
p10.b;Coking Coal
p10.c;Other Bituminous Coal
p10.d;Sub-Bituminous Coal
p10.e;Patent Fuel
p10.f;Lignite/Brown Coal
p10.g;BKB/Peat Briquettes
p10.h;Peat
p11.a;Crude petroleum and services related to crude oil extraction, excluding surveying
p11.b;Natural gas and services related to natural gas extraction, excluding surveying
p11.b.1;Natural Gas Liquids
p11.c;Other Hydrocarbons
p12;Uranium and thorium ores
p13.1;Iron ores
p13.20.11;Copper ores and concentrates
p13.20.12;Nickel ores and concentrates
p13.20.13;Aluminium ores and concentrates
p13.20.14;Precious metal ores and concentrates
p13.20.15;Lead, zinc and tin ores and concentrates
p13.20.16;Other non-ferrous metal ores and concentrates
p14.1;Stone
p14.2;Sand and clay
p14.3;Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.
p15.a;Products of meat cattle
p15.b;Products of meat pigs
p15.c;Products of meat poultry
p15.d;Meat products nec
p15.e;products of Vegetable oils and fats
p15.f;Dairy products
p15.g;Processed rice
p15.h;Sugar
p15.i;Food products nec
p15.j;Beverages
p15.k;Fish products
p16;Tobacco products
p17;Textiles
p18;"Wearing apparel; furs"
p19;Leather and leather products
p20;"Wood and products of wood and cork (except furniture); articles of straw and plaiting materials"
p20.w;Wood material for treatment, Re-processing of secondary wood material into new wood material
p21.1;Pulp
p21.w.1;Secondary paper for treatment, Re-processing of secondary paper into new pulp
p21.2;Paper and paper products
p22;Printed matter and recorded media
p23.1.a;Coke Oven Coke
p23.1.b;Gas Coke
p23.1.c;Coal Tar
p23.20.a;Motor Gasoline
p23.20.b;Aviation Gasoline
p23.20.c;Gasoline Type Jet Fuel
p23.20.d;Kerosene Type Jet Fuel
p23.20.e;Kerosene
p23.20.f;Gas/Diesel Oil
p23.20.g;Heavy Fuel Oil
p23.20.h;Refinery Gas
p23.20.i;Liquefied Petroleum Gases (LPG)
p23.20.j;Refinery Feedstocks
p23.20.k;Ethane
p23.20.l;Naphtha
p23.20.m;White Spirit & SBP
p23.20.n;Lubricants
p23.20.o;Bitumen
p23.20.p;Paraffin Waxes
p23.20.q;Petroleum Coke
p23.20.r;Non-specified Petroleum Products
p23.3;Nuclear fuel
p24.a;Plastics, basic
p24.a.w;Secondary plastic for treatment, Re-processing of secondary plastic into new plastic
p24.b;N-fertiliser
p24.c;P- and other fertiliser
